timestamp,consumption_percentage,events_count
2025-11-03 02:52:03,26.00,9
2025-11-03 03:47:22,377.00,367
2025-11-03 04:16:48,0.00,0
2025-11-03 04:44:03,25.00,2
2025-11-03 04:56:22,0.00,0
2025-11-03 05:18:22,354.00,350
2025-11-03 05:37:46,2.00,1
2025-11-03 05:47:50,0.00,0
2025-11-03 05:56:38,0.00,0
2025-11-03 06:29:07,5.00,2
2025-11-03 06:53:23,0.00,0
2025-11-03 07:15:29,357.00,352
2025-11-03 07:31:46,4.00,1
2025-11-03 07:44:54,3.00,1
2025-11-03 07:54:00,0.00,0
2025-11-03 08:21:30,19.00,4
2025-11-03 08:47:55,21.00,5
2025-11-03 08:59:43,0.00,0
2025-11-03 09:31:03,365.00,362
2025-11-03 09:48:36,0.00,0
2025-11-03 09:57:07,0.00,0
2025-11-03 10:22:15,3.00,2
2025-11-03 10:45:08,4.00,2
